	words	№ of cluster
735	кепка уточка	10
736	ищите резиновых уточек 	14
737	уточка для детей	10
738	 уточки	10
739	скачать уточку	10
740	желтая уточка	10
741	белая уточка русская	10
742	народная сказка уточка	10
743	белая уточка русская сказка	10
744	белая уточка русская народная	10
745	народные сказки белая уточка	10
746	мультики про уточек	14
747	змей  	9
748	змея змей  	9
749	змеи  	9
750	к чему снится змей 	9
751	к чему снятся змеи 	9
752	воздушные змеи 	9
753	воздушный змей 	9
754	змея горыныча 	9
755	змей горыныч 	9
756	тугарина змея 	9
757	тугарин змей 	9
758	алеша змей 	9
759	алеша попович и змей 	9
760	попович и тугарин змей 	9
761	алеша и тугарин змей 	9
762	алеша и тугарин змеи 	9
763	алеша попович и тугарин змеи 	9
764	алеша попович и тугарин змей 	9
765	женщина змея 	9
766	женщина змей 	9
767	змей во сне 	9
768	змея во сне 	9
769	фото змей 	9
770	змеи фото 	9
771	мультфильмы змей 	9
772	змея мультфильм 	9
773	фильм змей 	9
774	змеи фильм 	9
775	ядовитых змей 	9
776	ядовитые змеи 	9
777	змей какой 	9
778	какие змеи 	9
779	про змею 	9
780	про змей 	9
781	укусы змей 	9
782	укус змеи 	9
783	добрыня и змея 	9
784	добрыня и змей 	9
785	со змеей 	9
786	сонник змей 	9
787	сонник змея 	9
788	год змей 	9
789	год змеи 	9
790	мультфильм тугарин змей 	9
791	мультфильм алеша попович и змей 	9
792	алеша попович тугарин змеи мультфильм 	9
793	мультфильм алеша и тугарин змей 	9
794	мультфильм попович и тугарин змей 	9
795	алеша попович и тугарин змей мультфильм 	9
796	купить змей 	9
797	алиса  	8
798	алиса песни 	8
799	скачать алису 	8
800	алиса в стране 	8
801	алиса яндекс 	8
802	алиса чудес 	8
803	алиса в стране чудес 	8
804	привет алиса 	8
805	помощник алиса 	8
806	алиса голосовой 	8
807	алиса голосовой помощник 	8
808	найти алису 	8
809	николь и алиса 	8
810	слушай алиса 	8
811	алиса фильм 	8
812	алиса пожалуйста 	8
813	алиса бесплатно 	8
814	алиса видео 	8
815	про алису 	8
816	алиса найди песню 	8
817	алиса музыка 	8
818	алиса включи песню 	8
819	смотреть алису 	8
820	алиса мультик 	8
821	алиса скачать бесплатно 	8
822	алиса нова 	8
823	где алиса 	8
824	алиса в зазеркалье 	8
825	алиса какая 	8
826	алиса год 	8
827	алиса онлайн 	8
828	алиса на русском 	8
829	алиса дан 	8
830	алиса дали 	8
831	алиса давай 	8
832	алиса вокс 	8
833	группа алиса 	8
834	алис серия 	8
835	скачать яндекс алиса 	8
836	скажи алиса 	8
837	фильм алиса в стране 	8
838	алиса чудес фильм 	8
839	скачать песни алиса 	8
840	алиса в стране чудес фильм 	8
841	хочу алису 	8
842	алиса кожикина 	8
843	алиса фрейндлих 	8
844	алиса знает 	8
845	алиса покажи 	8
846	скачать алису голосовой 	8
847	проект  	7
848	проекты домов  	7
849	проект на тему 	7
850	после проекта 	7
851	крид проект 	7
852	проект по технологии 	7
853	крид после проекта 	7
854	проекта цена 	7
855	мир проектов 	7
856	клюкина после проекта 	7
857	егор после проекта 	7
858	проект егора крида 	7
859	клюкин после проекта 	7
860	крид и клюкина после проекта 	7
861	фото проекты 	7
862	егор крид после проекта 	7
863	проект  класс 	7
864	под проект 	7
865	проект  	7
866	скачать проект 	7
867	проект  	7
868	проект класс мира 	7
869	проект дома цена 	7
870	проект песни 	7
871	клюкина и егор после проекта 	7
872	егор крид и клюкина после проекта 	7
873	ключ проекты 	7
874	проект под ключ 	7
875	проект  	7
876	проект по технологии класс 	7
877	проект окружающему миру класс 	7
878	проекты бань 	7
879	дизайн проект 	7
880	проект  	7
881	проект россия 	7
882	проект  класс 	7
883	цена под проект 	7
884	под ключ проекты цены 	7
885	проект  	7
886	проекты одноэтажных 	7
887	инвестиционные проекты 	7
888	творческий проект 	7
889	проект  	7
890	проекты домов под 	7
891	проекты одноэтажных домов 	7
892	управление проектами 	7
893	проект дома ключ 	7
894	проекты домов под ключ 	7
895	проект  	7
896	проекты из бруса 	7
897	играющим играющем  	12
898	играть  	12
899	играть играющие  	12
900	играть бесплатно  	12
901	играть онлайн  	12
902	играны онлайн  	12
903	играть игру играющий игры  	12
904	играть онлайн бесплатно  	12
905	играть без  	12
906	играть без регистрации  	12
907	играть бесплатно без регистрации  	12
908	играть в игры 	12
909	все играно 	12
910	пасьянсы играть бесплатно 	12
911	играть бесплатно и без 	12
912	играть бесплатно и регистрации 	12
913	игран  	12
914	косынка играть 	12
915	шарики играть бесплатно 	12
916	играна автоматы 	12
917	играть игровые 	12
918	играна игровые 	12
919	косынка играть бесплатно 	12
920	игровые автоматы играть 	12
921	играна игровые автоматы 	12
922	играть паук 	12
923	маджонг играть бесплатно 	12
924	игры онлайн играть бесплатно 	12
925	игровые автоматы играть бесплатно 	12
926	масть играть 	12
927	играть бесплатно во весь экран 	12
928	играть онлайн без 	12
929	паук играть бесплатно 	12
930	какой играть 	12
931	играть онлайн регистрации 	12
932	играть онлайн бесплатно без 	12
933	играть онлайн без регистрации 	12
934	играть онлайн бесплатно без регистрации 	12
935	играть автоматы без 	12
936	играть автомат регистрация 	12
937	автоматы играть бесплатно без 	12
938	регистрация играть игровые 	12
939	игровые играть без регистрации 	12
940	игровые автоматы играть без 	12
941	игровые автоматы играть регистрации 	12
942	игровые автоматы играть без регистрации 	12
943	игровые автоматы играть бесплатно без 	12
944	бесплатные игровые автоматы играть бесплатно без регистрации 	12
945	играть с компьютером 	12
946	майнкрафт играть 	12
947	Статистика по словамПоказов в месяц	14
948	казино  	12
949	казино вулкан 	12
